date,amount,category,description,payment_method,reimbursable
2024-08-01,4.50,food,"Morning coffee",AMEX
2024-08-01,12.99,food,"Lunch sandwich",AMEX
2024-08-01,45.00,transport,"Gas station",VISA
2024-08-02,8.75,food,"Breakfast burrito",CASH
2024-08-02,15.00,transport,"Parking downtown",VISA
2024-08-02,25.99,entertainment,"Movie ticket",AMEX
2024-08-03,6.00,food,"Coffee shop",VISA
2024-08-03,32.50,food,"Grocery shopping",VISA
2024-08-03,89.99,entertainment,"Concert ticket",VISA
2024-08-04,5.25,food,"Snack",CASH
2024-08-04,18.00,transport,"Uber ride",VISA
2024-08-04,42.00,food,"Dinner",VISA
2024-08-05,7.50,food,"Coffee and pastry",AMEX
2024-08-05,125.00,shopping,"New shoes",CASH
2024-08-05,22.99,entertainment,"Streaming service",CASH
2025-08-05,50.0,shopping,T-shirt,CASH
2025-08-10,50.0,shopping,phone case,VISA
2025-08-27,50.0,gadget,phone case,AMEX
2025-10-25,50.0,shopping,stuff,AMEX
2025-10-21,1200.0,gadget,Laptop purchase,VISA
2025-12-05,75.0,office,"Office supplies",VISA
2026-01-27,1200.0,gadget,Laptop
2026-01-27,1200.0,gadget,Laptop
2026-01-27,1200.0,gadget,Laptop purchase
2026-01-27,1200.0,gadget,Laptop
2026-01-27,12.5,Food,Sandwich
2026-01-28,45.0,Gas,Gas
2026-01-15,25.99,Entertainment,Movie ticket
2026-01-20,125.0,Clothing,New shoes
2026-01-27,1200.0,Electronics,Laptop purchase
2026-01-27,30.0,Shopping,Stuff at the store
2026-01-27,55.0,Shopping,Coffee and phone case
2026-01-29,100.0,Hotel,Hotel
2026-01-27,35000.0,Car,Bought a car
2026-01-27,0.99,Apps,App purchase
2026-01-27,200.0,Spa,Spa treatment
2026-01-27,50.0,Dinner,Dinner
2026-01-27,12.5,food,Sandwich
2026-01-28,45.0,transport,Gas
2026-01-15,25.99,entertainment,Movie ticket
2026-01-20,125.0,shopping,New shoes
2026-01-27,1200.0,gadget,Laptop purchase
2026-01-27,55.0,shopping,Coffee and phone case
2026-01-29,100.0,other,Hotel
2026-01-27,35000.0,other,Car purchase
2026-01-27,0.99,gadget,App purchase
2026-01-27,200.0,entertainment,Spa treatment
2026-01-27,50.0,food,Dinner
2026-01-27,12.5,food,Sandwich
2026-01-28,45.0,transport,Gas
2026-01-15,25.99,entertainment,Movie ticket
2026-01-20,125.0,shopping,New shoes
2026-01-27,1200.0,gadget,Laptop purchase
2026-01-27,30.0,shopping,Stuff at the store
2026-01-27,55.0,shopping,Coffee and a phone case
2026-01-29,100.0,other,Hotel
2026-01-27,35000.0,other,Bought a car
2026-01-27,0.99,gadget,App purchase
2026-01-27,200.0,entertainment,Spa treatment
2026-01-27,50.0,food,Dinner
2026-01-27,12.5,food,Sandwich
2026-01-28,45.0,transport,Gas
2026-01-15,25.99,entertainment,Movie ticket
2026-01-20,125.0,shopping,New shoes
2026-01-27,1200.0,gadget,Laptop purchase
2026-01-27,55.0,shopping,Coffee and phone case
2026-01-29,100.0,other,Hotel
2026-01-27,35000.0,transport,Bought a car
2026-01-27,0.99,gadget,App purchase
2026-01-27,200.0,entertainment,Spa treatment
2026-01-27,50.0,food,Dinner
2026-01-27,50.0,Food,Lunch
2026-01-27,12.5,Food,Sandwich
2026-01-28,45.0,Gas,Gas
2026-01-15,25.99,Entertainment,Movie ticket
2026-01-20,125.0,Clothing,New shoes
2026-01-27,1200.0,Electronics,Laptop purchase
2026-01-28,50.0,Groceries,Groceries
2026-01-27,30.0,Shopping,Stuff at the store
2026-01-29,100.0,Hotel,Hotel
2026-01-27,35000.0,Car Purchase,Bought a car
2026-01-27,0.99,Apps,App purchase
2026-01-27,200.0,Spa,Spa treatment
2026-01-27,50.0,Dinner,Dinner
2026-01-27,12.5,food,Sandwich
2026-01-28,45.0,transport,Gas
2026-01-15,25.99,entertainment,Movie ticket
2026-01-20,125.0,shopping,New shoes
2026-01-27,1200.0,gadget,Laptop purchase
2026-01-27,55.0,food,Coffee and phone case
2026-01-29,100.0,other,Hotel
2026-01-27,35000.0,transport,Bought a car
2026-01-27,0.99,gadget,App purchase
2026-01-27,200.0,entertainment,Spa treatment
2026-01-27,50.0,food,Dinner
2026-01-27,12.5,food,Sandwich
